US,88,124
Brazil,44,60
Russia,106,45
United Kingdom,92,128
Spain,133,45
Italy,65,118
France,128,46
Germany,123,90
Peru,104,56
Turkey,125,43
Iran,127,50
Chile,46,72
Mexico,122,44
Canada,84,125
Saudi Arabia,94,68
China,126,41
Belgium,81,121
Qatar,109,66
