Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,2,-3,0,3,0,5,5,0,0,16,0,4,13,7,15,5,23,43,16,27,53,24,61,41,37,78,61,45,75,86,65,6,25,-10,10,-14,3,-28,-11,-32,-98,-41,-31,-4,-11,-22,-42,-31,9,-20,2,-21,9,-6,8,12,48,37,62,50,96,66,40,103,-46,77,47,100,62,72,-13,56,30,45,17,39,13,53,85,64,125,52,145,83
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,4,1,0,1,3,0,6,3,0,2,0,-4,2,6,0,1,4,0,0,2,0,4,0,-3,0,4,4,0,3,0,5,-5,0,-1,0,-1,1,2,0,-1,5,3,0,-5,-6,0,-1,0,-1,2,0,-1,0,-1,0,1,-1,0,2,0,-1,0,0,0,0,0,0,-1
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,10,0,3,5,6,2,0,3,3,1,25,0,0,7,72,0,-9,15,-12,-18,10,21,10,7,-5,4,43,-14,26,12,-15,-28,16,9,36,-40,30,28,-25,4,29,54,-7,22,17,99,93,192,112,125,-11,18,3,104,16,51,-188,133,270,23,30,47,-4,-35,74,75,101,-51,124,169,116,125,217,303,152,213,254,271,234,96,42,61,207,327,-260,-19,17,18,213,-133,10,111,93,116,216,-244,76
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,1,3,3,3,4,2,5,3,-3,1,4,-4,0,-3,-4,2,2,4,3,14,32,36,51,111,88,52,132,174,202,208,331,242,289,296,472,423,375,391,495,299,404,481,538,622,549,555,544,-223,537,591,787,186,511,315,637,771,713,929,1027,666,679,1003,1369,822,1387,1356,1082,1557,1089,1521,900,1173,1514,1910,1376,2099,1543
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,8,3,1,0,0,6,2,7,0,1,0,12,5,1,-3,3,2,-2,0,0,1,3,-1,0,-2,2,0,-2,0,-2,-6,0,-5,0,2,-8,1,0,-1,1,0,-5,1,-2,-1,0,-6,1,-3,0,0,1,-8,0,0,-1,1,0,2,-2,0,0,2,0,-1,0,-5,0,0,0,0,0
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,-1,1,0,3,15,0,0,9,0,13,0,18,-3,0,5,-7,-2,0,5,0,0,58,-16,4,139,47,88,120,132,160,182,355,462,238,318,338,358,444,472,434,-3,-154,1461,392,363,570,566,360,746,778,662,889,527,354,708,796,717,345,283,230,511,380,560,804,517,211,485,314,256,530,718,442,119,297,151,242,322,647,274,54,160,171,315,342,580
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,10,27,59,60,31,39,28,44,0,245,129,197,171,180,209,302,476,266,578,329,294,526,1128,797,1581,1328,813,515,630,838,913,1146,592,703,806,480,814,784,606,898,395,115,1932,364,624,368,674,1204,696,238,313,985,499,264,347,458,15,274,88,104,212,212,87,-341,314,264,315,179,262,241,-85,73,110,140,74,224,174,-10,75,115,242,122,193,68,-38,126,60,15,63,85
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,3,1,4,0,0,0,0,0,-2,0,0,0,-3,0,0,0,-1,-3,0,0,-4,0,0,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,1,0,0,0,0,0,0,2,4,0,2,0,3,3,0,0,0,9,0,0,0,-13,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,16,0,0,-2,0,0,41,93,42,35,0,-6,-7,12,0,0,0,0,-209,26,0,0,0,35,-2,-17,-14,0,12,0,1,7
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,5,1,0,0,0,0,0,-1,0,3,0,3,0,1,3,0,2,10,0
